,period_id,score,score_activity_balance,score_previous_day,score_previous_night,score_recovery_index,score_resting_hr,score_sleep_balance,score_temperature,summary_date,score_hrv_balance
0,0,94,100,0,75,100,100,100,89,2019-09-09,
1,0,58,1,33,66,30,94,60,92,2019-09-10,
2,0,80,67,78,73,78,93,80,99,2019-09-11,
3,0,74,78,59,68,52,95,72,100,2019-09-12,
4,0,85,83,76,76,100,100,76,99,2019-09-13,
5,0,71,88,73,57,33,92,71,100,2019-09-14,
6,0,87,75,48,96,100,98,84,93,2019-09-15,
7,0,90,87,76,84,100,100,88,96,2019-09-16,
8,0,77,89,0,71,100,65,83,100,2019-09-17,
9,0,83,86,32,89,100,90,87,98,2019-09-18,
10,0,79,87,76,60,69,96,82,97,2019-09-19,
11,0,83,89,69,76,65,100,84,100,2019-09-20,
12,0,63,100,0,40,24,84,62,88,2019-09-21,
13,0,75,100,66,65,67,93,62,99,2019-09-22,
14,0,56,100,70,55,72,28,56,87,2019-09-23,
15,0,67,100,0,44,58,100,46,88,2019-09-24,
16,0,72,96,72,80,26,84,65,100,2019-09-25,
17,0,65,88,62,79,100,29,70,94,2019-09-26,
18,0,66,81,62,55,81,49,68,84,2019-09-27,
19,0,55,91,0,65,74,1,76,62,2019-09-28,
20,0,78,94,46,85,0,0,82,0,2019-09-29,
21,0,72,84,59,55,29,100,77,90,2019-09-30,
22,0,61,73,44,47,47,69,74,100,2019-10-01,
23,0,80,71,67,79,67,98,77,100,2019-10-02,
24,0,79,71,73,77,100,80,80,99,2019-10-03,
25,0,75,68,73,74,87,64,88,91,2019-10-04,
26,1,79,75,46,76,70,93,89,100,2019-10-05,
27,0,68,82,0,94,84,9,98,72,2019-10-06,
28,0,69,92,0,74,60,21,88,82,2019-10-07,
29,0,73,97,0,81,84,32,94,98,2019-10-08,
30,1,69,100,0,77,100,14,96,100,2019-10-09,
31,0,87,100,0,93,53,80,99,98,2019-10-10,
32,0,78,97,71,87,84,43,100,100,2019-10-11,
33,0,71,80,0,81,18,53,100,97,2019-10-12,
34,0,82,85,0,85,65,92,100,60,2019-10-13,
35,0,91,89,0,69,98,100,100,100,2019-10-14,
36,0,84,87,67,77,65,92,100,76,2019-10-15,
37,0,81,86,0,73,65,73,100,100,2019-10-16,
38,0,87,92,0,77,45,99,100,100,2019-10-17,
39,0,70,91,0,71,81,26,97,77,2019-10-18,
40,0,70,95,0,54,70,54,90,100,2019-10-19,
41,0,57,40,1,40,97,75,68,100,2019-10-20,
42,0,55,47,0,26,87,66,58,100,2019-10-22,
43,0,67,57,0,77,100,58,61,100,2019-10-23,
44,0,66,15,1,89,83,87,67,98,2019-10-24,
45,0,64,25,81,66,100,68,71,64,2019-10-25,
46,0,63,41,0,33,63,97,64,100,2019-10-26,
47,0,71,53,0,83,100,69,71,73,2019-10-27,
48,1,48,61,0,2,54,71,57,98,2019-10-28,
49,0,57,72,0,70,24,52,61,100,2019-10-29,
50,0,71,72,78,74,55,81,64,93,2019-10-30,
51,0,56,89,0,59,78,1,72,73,2019-10-31,
52,0,51,80,62,19,75,59,44,99,2019-11-01,
53,1,23,75,23,1,10,24,24,94,2019-11-02,
54,2,64,81,32,100,100,53,39,97,2019-11-03,
55,0,77,86,33,91,100,100,50,100,2019-11-04,
56,0,73,85,24,84,74,92,60,99,2019-11-05,
57,0,59,97,44,52,10,74,61,100,2019-11-06,
58,0,57,98,55,1,61,56,51,83,2019-11-08,
59,0,80,100,0,81,59,98,65,99,2019-11-09,
60,0,89,100,0,85,100,100,75,100,2019-11-10,
61,0,63,100,0,41,92,47,73,100,2019-11-11,
62,0,70,100,67,52,14,94,72,98,2019-11-12,
63,0,74,95,67,56,100,88,72,70,2019-11-13,
64,0,74,89,75,34,39,99,64,83,2019-11-14,
65,0,60,52,9,23,63,94,54,84,2019-11-15,
66,0,65,54,97,29,100,90,50,91,2019-11-26,
67,0,74,59,42,78,100,99,56,99,2019-11-27,
68,0,44,66,0,58,55,7,59,100,2019-11-28,
69,0,70,47,50,65,59,100,66,100,2019-11-29,
70,0,79,53,78,65,100,100,72,98,2019-11-30,
71,1,42,69,0,23,62,24,59,93,2019-12-05,
72,0,53,86,0,32,17,72,54,99,2019-12-06,
